Id,SalePrice
1461,91322.84322
1462,135465.0645
1463,179663.7731
1464,186862.3282
1465,199087.7296
1466,176346.9418
1467,162034.527
1468,159660.4769
1469,184636.0929
1470,116802.9932
1471,158509.6131
1472,85223.75679
1473,91049.26653
1474,142532.3747
1475,99306.63175
1476,377957.3936
1477,258080.3076
1478,299181.3788
1479,295928.0142
1480,433975.472
1481,335500.3018
1482,189002.143
1483,188229.0219
1484,151449.8308
1485,210946.9239
1486,201926.7206
1487,350693.9974
1488,251739.072
1489,194767.3884
1490,250937.542
1491,202039.7819
1492,66907.99293
1493,205429.0136
1494,306253.7357
1495,298182.0168
1496,247310.4747
1497,160645.4169
1498,163203.1114
1499,169722.8895
1500,163400.9423
1501,183433.6727
1502,152486.5444
1503,315693.3633
1504,234653.8994
1505,220370.4826
1506,193850.5794
1507,240740.4438
1508,198656.209
1509,157944.6632
1510,147929.6799
1511,141825.0124
1512,169524.1298
1513,147346.1442
1514,112068.8416
1515,208489.8582
1516,167958.9052
1517,164480.3334
1518,112984.0839
1519,215631.4163
1520,124857.0624
1521,118701.2092
1522,180907.4747
1523,96315.56387
1524,116058.2168
1525,113322.27
1526,106715.8244
1527,134409.2852
1528,144942.1256
1529,143566.5978
1530,197813.2007
1531,125747.1244
1532,104210.3531
1533,128956.438
1534,115498.6804
1535,129518.2897
1536,88536.56141
1537,48477.65257
1538,160710.6773
1539,208177.6948
1540,113610.1142
1541,120787.2464
1542,146140.6918
1543,183024.0995
1544,92896.9998
1545,116639.8195
1546,142504.0891
1547,128293.4507
1548,139600.0135
1549,119052.7786
1550,138116.2651
1551,120490.2964
1552,137872.8771
1553,157142.1642
1554,112758.4104
1555,148719.4563
1556,43310.04333
1557,81465.59709
1558,86433.84683
1559,76289.43181
1560,118029.8259
1561,114077.8561
1562,135174.8842
1563,142818.8804
1564,139208.9858
1565,135943.0384
1566,230972.3488
1567,61977.36198
1568,208996.138
1569,105668.7671
1570,148412.1857
1571,67655.41505
1572,151771.1039
1573,241648.4869
1574,138432.904
1575,218073.5683
1576,223507.3737
1577,205251.2973
1578,120384.0054
1579,121224.5034
1580,194514.8047
1581,151325.9484
1582,128885.5782
1583,276745.7194
1584,223191.8226
1585,144206.3581
1586,48126.53386
1587,115698.4253
1588,161985.5718
1589,87825.99901
1590,122301.0197
1591,91490.8554
1592,130574.4513
1593,123704.1044
1594,153928.8785
1595,111858.7231
1596,222870.7367
1597,205690.645
1598,235373.3996
1599,191326.8478
1600,179610.3732
1601,35638.01134
1602,115257.2865
1603,87732.74154
1604,273651.461
1605,236464.7997
1606,133369.876
1607,132491.8953
1608,228662.6973
1609,170630.2731
1610,134075.1591
1611,118887.9253
1612,163129.9706
1613,162133.6102
1614,135399.3192
1615,95069.3966
1616,74559.67557
1617,82881.12318
1618,98854.88527
1619,133977.4686
1620,189891.7552
1621,114341.4316
1622,142515.2047
1623,247946.7505
1624,185926.1497
1625,108834.4041
1626,156060.5606
1627,188368.4518
1628,291560.7358
1629,186228.5007
1630,333085.7088
1631,260211.7542
1632,254198.4348
1633,184267.767
1634,189520.341
1635,166293.2043
1636,135430.1558
1637,223768.3802
1638,172304.732
1639,183996.1955
1640,252895.4285
1641,163313.3198
1642,269848.5554
1643,199861.4743
1644,245401.1144
1645,220599.3284
1646,159898.1923
1647,155722.3312
1648,111978.9294
1649,161586.5318
1650,121972.8776
1651,115193.3199
1652,99396.51144
1653,101559.6021
1654,135436.1278
1655,133936.0837
1656,108077.4869
1657,165600.5847
1658,168411.7521
1659,129681.4509
1660,135165.2207
1661,404030.1732
1662,394461.8859
1663,384345.4057
1664,419003.1907
1665,328097.1209
1666,317703.9203
1667,348911.056
1668,359572.3906
1669,321647.2716
1670,357335.247
1671,234986.3516
1672,355336.6109
1673,304347.7401
1674,240412.2478
1675,186500.992
1676,189881.2223
1677,232050.1685
1678,439068.961
1679,370644.0149
1680,330680.2108
1681,266386.0487
1682,327303.951
1683,169580.0999
1684,160881.7936
1685,172484.3978
1686,158861.0467
1687,181474.5422
1688,202656.0402
1689,184598.2102
1690,200398.9085
1691,189074.856
1692,276305.5235
1693,187910.0992
1694,183180.2711
1695,172942.3961
1696,272406.5628
1697,171453.9093
1698,342687.0631
1699,324696.969
1700,283309.9517
1701,277715.735
1702,226115.3057
1703,242774.6588
1704,246902.8644
1705,227629.233
1706,405951.6631
1707,209878.9589
1708,206739.7959
1709,263897.632
1710,220881.4508
1711,285051.4123
1712,247939.6659
1713,269885.4779
1714,219015.0876
1715,221764.7128
1716,154159.574
1717,176455.7024
1718,130133.5303
1719,204127.1244
1720,239139.0755
1721,152340.2011
1722,114534.2027
1723,145081.5366
1724,208918.0684
1725,232320.3235
1726,172506.3639
1727,146059.9708
1728,191876.1273
1729,172505.3038
1730,155532.3161
1731,118911.5867
1732,130527.9621
1733,102399.0132
1734,124669.3333
1735,115425.4927
1736,87923.08132
1737,305324.4234
1738,269705.2644
1739,274008.806
1740,196667.1441
1741,175958.1231
1742,190638.4207
1743,184656.9619
1744,342409.0341
1745,239910.1845
1746,224426.7765
1747,227975.1276
1748,214669.9329
1749,119726.435
1750,158943.4729
1751,230076.2829
1752,113444.6946
1753,146784.2324
1754,196760.2836
1755,156304.1136
1756,151277.9304
1757,122755.8331
1758,170545.2602
1759,162438.3497
1760,149887.1122
1761,131681.8106
1762,206720.297
1763,164726.7258
1764,114508.3185
1765,175989.7387
1766,179360.1252
1767,235180.0578
1768,135011.9689
1769,175816.0773
1770,182268.8613
1771,129510.6667
1772,139155.5472
1773,135575.8689
1774,127884.4313
1775,150844.0588
1776,147863.5567
1777,107809.7691
1778,144171.6762
1779,125287.1147
1780,164333.831
1781,120881.876
1782,68432.63087
1783,133388.2833
1784,100332.845
1785,130031.2996
1786,154758.1649
1787,162972.1359
1788,36267.09015
1789,118340.2476
1790,78232.16267
1791,209706.7278
1792,154229.9137
1793,144249.735
1794,151733.0736
1795,106445.8809
1796,155866.0574
1797,104926.6595
1798,120997.9783
1799,109538.9078
1800,129529.5898
1801,116292.5872
1802,140510.5847
1803,155515.3098
1804,120623.9397
1805,118881.0596
1806,117578.4399
1807,150384.5246
1808,105636.6096
1809,124907.4015
1810,151020.6972
1811,102361.5922
1812,107542.0852
1813,128740.7331
1814,103515.6647
1815,38347.22301
1816,83723.46245
1817,121155.5978
1818,165878.8463
1819,122285.6807
1820,37324.55832
1821,125860.3577
1822,177972.3203
1823,75130.06033
1824,142557.1854
1825,167856.5043
1826,87724.14517
1827,103125.3898
1828,147882.7715
1829,122542.356
1830,142571.4023
1831,146070.9053
1832,78867.96254
1833,183666.8986
1834,90299.36659
1835,87825.49968
1836,136851.99
1837,70695.45177
1838,122365.1498
1839,101132.9587
1840,174720.3692
1841,106202.5185
1842,89438.84281
1843,122512.412
1844,173909.7014
1845,161507.8945
1846,143868.1265
1847,169669.8053
1848,24997.04152
1849,115905.7153
1850,121559.3303
1851,139234.6225
1852,130317.7363
1853,138112.9158
1854,157092.6259
1855,165886.0904
1856,222591.5082
1857,116971.3611
1858,163524.8037
1859,138203.5339
1860,133028.914
1861,138942.4561
1862,297623.0949
1863,285428.136
1864,285451.8638
1865,370113.7405
1866,350352.5283
1867,244584.4048
1868,268204.7765
1869,207365.6932
1870,242637.5328
